Description,Part Number,Distributor/Link,Quantity,Price,Total
Dr Infrared Heater DR-966,DR-966,Dr.Heater,1,$200.00,$200.00
Raspberry Pi Zero 2W,"	2648-SC0721-ND",Digikey,1,$18.00,$18.00
Samsung PRO Endurance 128GB MicroSD Card,B09WB1857W,Amazon,1,$22.99,$22.99
Raspberry Pi Heat Sink,1528-1698-ND,Digikey,1,$0.95,$0.95
Raspberry Pi Zero Proto Bonnet Board,1528-2041-ND,Digikey,1,$4.50,$4.50
Waterproof 1-Wire DS18B20 Digital temperature sensor,1528-1592-ND,Digikey,1,$9.95,$9.95
Two Position Terminal Block,277-1273-ND,Digikey,2,$1.93,$3.86
Three Position Terminal Block,277-1274-ND,Digikey,2,$2.77,$5.54
Wago Wire Connector,2946-221-613-ND,Digikey,3,$1.26,$3.78
120-240vac to 5vdc power supply,1866-4133-ND,Digikey,1,$8.60,$8.60
Dual Channel 5vdc control 240vac 30 Amp Relay Board,B07DSXWPC1,Amazon,1,$10.99,$10.99
Power Supply Phillips Screw (M3 x 6mm),92005A116,McMaster-Carr,1,$4.48,$4.48
Raspberry Pi and Relay Board Phillips Screw (M3 x 0.5mm),92005A052,McMaster-Carr,1,$6.87,$6.87
AWG 10 stranded 600v black wire 25ft,8054T29-9154T211,McMaster-Carr,1,$36.34,$36.34
AWG 10 stranded 600v green wire 25ft,8054T29-9154T233,McMaster-Carr,1,$36.34,$36.34
AWG 16 stranded 600v black wire 25ft,8054T26-8054T866,McMaster-Carr,1,$9.37,$9.37
AWG 16 stranded 600v green wire 25ft ,8054T26-8054T02,McMaster-Carr,1,$9.37,$9.37
AWG 18 stranded 600v black wire 25ft,8054T25-8054T805,McMaster-Carr,1,$6.48,$6.48
AWG 18 stranded 600v red wire 25ft,8054T25-8054T849,McMaster-Carr,1,$6.48,$6.48
AWG 18 stranded 600v yellow wire 25ft,8054T25-8054T861,McMaster-Carr,1,$6.48,$6.48
AWG 20 solid 300v yellow wire 25ft,8251T3-8251T621,McMaster-Carr,1,$5.28,$5.28
Spade Connector Kit 330pcs,B0C56Y6D2W,Amazon,1,$9.39,$9.39
3D printed Heater Back Mount Plate,,,1,,$0.00
Back mount plate screws (#6 x 1/2-Inch Phillips Pan-Head screw),2337250,Menards,1,$1.28,$1.28
3D printed temperature probe case,,,1,,$0.00
Probe case screws (#8 X 3/4-Inch Phillips Pan-Head screw),2010225,Menards,1,$1.19,$1.19
Grand Total: ,,,,,$426.04
